,,Design Features,,,,,,,,,,,,,,,,,
,,Safety Barriers and Railings,Slip-proof Tactile Surfaces,Seamless Inclusivity of Rest Zones For All,Sufficient Width of Pathways > 1.5 Meters,One Sheltered Circulation Route to TODs,One Circulation Route to All Zones,Width of Ramp Landings > 1.5 Meters Deep,Ramps > 9 Meters Horizontally and/or > 0.5 Meters Vertically Needs An Intermediate Landing,Linear Ramp Ratio of 1:12,Gentler Linear Ramp Ratio of >1:15,Sheltered Routes With Flat Surfaces and Ramps,Proximity of Amenities To Each Other,Location of Wayfinding Signs At Blind Spots,Frequency of Wayfinding Signs,Shortest Circulation Route to All Zones,Wider Path Widths  of > 2 Meters At High Traffic Zones,Wider Path Widths of > 2 Meters At Junctions,Location Of Nursing Rooms Near To TODs
,Hassle Free Journey / No Detours,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
USER NEEDS,Spatial Comfort,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,Ease of Navigation,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
,Availability of Amenities,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,Easy Identification of Amenities,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
,Safety Support,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
,Convenience of Amenities,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,Calm While Navigating,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
,Encouraged To Explore Space,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
,Reassured and Relaxed During Journey,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
,Clarity on Journey Routes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,LEGEND,,,,,,,,,,,,,,,,,
,,,User Needs - Quantified,,,,,,,,,,,,,,,,
,,,User Needs - Emotional,,,,,,,,,,,,,,,,
,,,Design Features - Universal Design Index,,,,,,,,,,,,,,,,
,,,Design Features - Research Derived,,,,,,,,,,,,,,,,
,,FALSE,Relationship,,,,,,,,,,,,,,,,